Text,True Label ID,True Label,Predicted Label ID,Predicted Label
"det går en oks på fv lang vågevatnet, politi forsøk å komm i kontakt med eier.",9,Skadeverk,4,Ulykke
"kl.: fikk politi melding om slagsmål på et utested. en mann i -år var utsatt for vold. politi fikk, ett et kort søk i området, kontroll på en mann i -årene. -åring er pågrep og satt i arrest. -åring er kjørt dramm sykehus.",1,Trafikk,2,Brann
søk ett savn bærplukk i områd tuvatoppen/storskarfjellet. det har gjennom natt blitt søkt med stor ressurs ett en dam i årene. hun ble sist sett ca. kl. . i går kveld. politi ber turgåer i områd om å vær oppmerksom på hvem de møt i området.,7,Andre hendelser,1,Trafikk
"kl : - politi kontroller en personbil ført av en kvinn i årene. hun mistenk for kjøring i alkoholpåvirk tilstand. hun ble fremstilt for prøvetaking, fikk førerkort midlertid beslaglagt og blir anmeld for forholdet.",0,Innbrudd,4,Ulykke
"kl . politi har pågrep en person som hadd tatt seg inn i en bil, sannsynligvis i den hensikt å stjel den. kjør arrest og sak opprettes.",6,Voldshendelse,2,Brann
politi fikk melding klokk om båt som gikk på land i lav hast utenfor flesland. ukjent antall person ombord. redningsskøyt send mot stedet. hrs koordiner oppdraget.,11,Sjø,1,Trafikk
melding om arbeidsulykke. en person skal ha falt fra litt høyd und arbeid. våk og ved bevissthet. politi og ambulans på vei.,1,Trafikk,5,Ro og orden
kl. : en kvinn i åren er redd ut med bruk av redningshelikopter. kvinn er dement og hadd forvill seg i området. kvinn var med venninn på hyttetur da hun hadd forvill seg.,7,Andre hendelser,2,Brann
vedr. fallulykk ved svolværgeita. det er hrs som led redningsarbeid på stedet. grunn fler samtid hend har verk de ell vi anledning til å snakk med medi nå. person som har falt er bevisst og redning heli løft ut person nå.,7,Andre hendelser,1,Trafikk
"nødetat på vei til sammenstøt mellom to biler, trafikk går forbi i et felt. all involver er oppegående, ukjent skadegrad.",4,Ulykke,5,Ro og orden
politi båttjenest har stans båtfør som kjørt i berus tilstand. opprett sak.,1,Trafikk,4,Ulykke
nødetat rykk ut til berus mann som har vært i sjøen. tatt med av ambulans til legevakten. ikk tegn til andr person i sjøen. nødetat avslutt på sted nå.,7,Andre hendelser,5,Ro og orden
et kjøretøy skal ha trill ut i vann - uten at det var folk i bilen. nødetat rykk ut til sted - ing fremstår skadet. bil er tauet opp av vann igjen. politi gjør sin undersøk nå.,4,Ulykke,3,Tyveri
